问题,答案,类别,关键词
安全技术说明书SDS使用有什么要求？,开展涉及危险化学品的实验前，应查阅安全技术说明书SDS，了解理化性质、危险性、个体防护、泄漏处置、急救措施、消防措施和废弃处置要求。,危险化学品,SDS 安全技术说明书 危险性 急救 消防
化学品冰箱使用要求有什么要求？,试剂冰箱应专用并张贴标识，不得存放食品。易燃溶剂不得随意存放于普通冰箱，应根据其性质选择符合要求的储存条件。,危险化学品,冰箱 试剂 食品 易燃溶剂
实验废液分类收集有什么要求？,实验废液不得直接倒入水池，应按有机废液、无机酸碱废液、含重金属废液、含卤有机废液、含氰/硫/铬等特殊废液等类别分类收集，具体分类以学校规定为准。,实验废弃物,废液 分类 有机 无机 重金属 卤代
废液标签规范有什么要求？,废液桶应张贴规范标签，注明主要成分、危险类别、产生日期、实验室名称、责任人和联系方式。标签缺失或成分不明会增加转运、暂存和处置风险。,实验废弃物,废液 标签 成分 责任人 日期
废液容器要求有什么要求？,废液应使用专用耐腐蚀容器收集，不得使用矿泉水瓶、饮料瓶、食品桶或原标签未去除的生活容器。废液桶不得敞口，不得过量盛装，不相容废液不得混装。,实验废弃物,废液桶 矿泉水瓶 饮料瓶 敞口 混装
沾染化学品的固体废物有什么要求？,沾染危险化学品的手套、滤纸、吸附材料、破损容器等应按实验室危险废物要求分类收集，不得与生活垃圾混放。尖锐物、玻璃碎片应使用防刺破容器收集。,实验废弃物,固体废物 手套 滤纸 玻璃 锐器
危废暂存要求有什么要求？,危险废物暂存区应有标识、台账和防渗漏措施，废液桶应保持密闭，存放区域应远离火源、热源和不相容化学品。达到规定量或期限应及时转运。,实验废弃物,危废 暂存 防渗漏 转运
气瓶固定要求有什么要求？,气瓶应使用链条、支架或气瓶柜固定，防止倾倒。不得将气瓶随意靠墙放置，不得堵塞通道。移动气瓶应使用专用小车，运输时安装瓶帽。,气瓶与压力设备,气瓶 固定 链条 支架 气瓶柜
气瓶使用前检查有什么要求？,使用气瓶前应检查瓶体标识、有效期、阀门、减压阀、压力表、管路连接和泄漏情况。发现漏气、阀门异常或标识不清应停止使用并报告。,气瓶与压力设备,气瓶 阀门 减压阀 压力表 漏气
气瓶分类与兼容性有什么要求？,易燃气体、助燃气体、有毒气体和惰性气体应按性质分类存放。易燃气体与助燃气体不得混放，应远离火源、热源和强氧化剂。,气瓶与压力设备,氢气 氧气 乙炔 氮气 分类
高压反应装置管理有什么要求？,高压反应装置使用前应确认设备状态、压力等级、密封性、安全阀、温控和应急泄压措施。未经培训人员不得独立操作高压设备。,气瓶与压力设备,高压 反应釜 安全阀 泄压
实验室用电基本要求有什么要求？,不得私拉乱接电线，不得使用破损插座、老化电线和不合格插线板。不得多个插线板串联使用。电器设备周围不得堆放纸张、塑料、试剂等可燃物。,用电与仪器设备,用电 插线板 串联 私拉乱接 老化
小型电器断电要求有什么要求？,吹风机、烘干机、电热板、小型加热器等使用后应及时关闭电源并拔掉插头，离开实验室前应将其纳入水电气门窗离室检查。,用电与仪器设备,吹风机 烘干机 电热板 插头 断电
大型仪器连续运行管理有什么要求？,气相色谱、液相色谱、烘箱、培养箱等确需长时间运行的设备，应明确责任人、运行时间、巡查频次和异常处置方式，必要时安装监控或远程报警。,用电与仪器设备,气相色谱 液相色谱 过夜 连续运行 巡查
加热设备安全有什么要求？,加热回流、电热套、马弗炉、烘箱等设备使用前应检查线路、温控、冷凝水、周围可燃物和通风条件。不得无人值守开展高风险加热实验。,用电与仪器设备,加热 回流 电热套 烘箱 马弗炉
消防设施可用性有什么要求？,实验室应保持灭火器、消防栓、应急照明、疏散通道和安全出口可用，不得遮挡、占用或挪用。实验人员应了解灭火器类型和适用范围。,消防与应急处置,灭火器 消防栓 通道 安全出口
洗眼器和喷淋装置有什么要求？,涉及腐蚀性、有毒有害、刺激性化学品的实验区域应配备并保持洗眼器、喷淋装置可用。设备周边不得堆放杂物，应定期检查出水情况。,消防与应急处置,洗眼器 喷淋 腐蚀 化学灼伤
化学品泄漏初步处置原则有什么要求？,发生化学品泄漏时，应先确保人员安全，疏散无关人员，佩戴合适防护用品，切断火源，避免盲目处理未知物质，并及时报告导师或安全管理员。,消防与应急处置,泄漏 疏散 报告 防护
实验室火灾初步处置有什么要求？,发生火情时应立即呼救报警，视火势和自身安全情况使用合适灭火器材初期处置，火势无法控制时立即撤离，不得贪恋财物或返回取物。,消防与应急处置,火灾 灭火器 报警 撤离
实验过程中出现头晕、恶心或胸闷的处置有什么要求？,实验过程中出现头晕、恶心、胸闷、咳嗽、呼吸不适等症状时，应立即停止实验，离开可能暴露区域，到空气流通处休息，并及时报告同伴、导师或安全管理员。应排查通风、挥发性溶剂、有毒有害气体、气瓶泄漏和加热挥发等因素；症状持续或加重时应及时就医。,消防与应急处置,头晕 恶心 胸闷 咳嗽 呼吸困难 吸入 暴露 不适
化学品进入眼睛的应急处置有什么要求？,化学品进入眼睛后，应立即使用洗眼器或大量流动清水持续冲洗，并尽快报告导师或安全管理员。应确认接触物质名称和SDS，必要时安排人员陪同就医。,消防与应急处置,眼睛 进眼 洗眼器 化学品 酸溅 碱溅
通风橱使用规范有什么要求？,涉及挥发性、有毒、有刺激性或恶臭气体的操作应在通风橱内进行。通风橱内不得堆放无关物品，操作口高度应适当，使用前确认通风正常。,场所与环境,通风橱 挥发 有毒 堆放 风速
实验室环境与通道有什么要求？,实验台面应整洁，药品和样品不得长期无序堆放。消防通道、安全出口、配电箱和应急设施前不得堆放物品。,场所与环境,卫生 通道 堆放 安全出口 配电箱
生物实验基础要求有什么要求？,涉及生物材料时应按实验室生物安全等级要求开展，规范使用生物安全柜，实验废物应灭活或按规定收集，避免气溶胶、针刺伤和交叉污染。,生物与机械安全,生物安全 生物废物 灭活 气溶胶
机械与切割设备安全有什么要求？,使用切割、打磨、压片、搅拌等机械设备时，应佩戴合适防护用品，避免衣物、长发、手套被卷入，设备运行时不得伸手调整。,生物与机械安全,机械 切割 打磨 搅拌 卷入
做实验过程中头晕怎么办？,立即停止实验，离开可能暴露区域，到空气流通处休息，并报告同伴、导师或安全管理员。不要独自继续实验。应排查通风、挥发性溶剂、有毒有害气体、气瓶泄漏和加热挥发等因素；症状持续或加重时及时就医。,消防与应急处置,头晕 不适 实验 吸入 暴露
实验时闻到刺鼻气味怎么办？,应立即停止实验，远离污染区域，保持通风，疏散无关人员，并报告导师或安全管理员。在确保安全前提下关闭可能的泄漏源或挥发源，不得盲目处理未知泄漏。,消防与应急处置,刺鼻 异味 泄漏 吸入
化学品溅到眼睛怎么办？,立即使用洗眼器或大量流动清水持续冲洗眼部，并报告导师或安全管理员；确认化学品名称和SDS，必要时立即就医。,消防与应急处置,眼睛 进眼 洗眼器 化学品
新生第一次进化学实验室应该先做什么？,应先完成安全教育培训和准入考试，了解实验室危险源、应急设施位置、PPE要求、废液分类和离室检查要求，未经准入不得独立开展实验。,准入与责任体系,新生 准入
